crime_id,crime_type,crime_subtype,crime_date,crime_time,crime_day,crime_month,crime_year,crime_location,area_name,city,state,pincode,latitude,longitude,crime_description,weapon_used,entry_method,crime_method,target_type,victim_count,victim_gender,victim_age,injury_level,property_loss_amount,suspect_count,cctv_available,evidence_found,police_station,officer_assigned,case_status,fir_number,arrest_made,criminal_id,investigation_notes,created_at
CR-2022-00001,Assault,Bar Fight,2022-06-27,06:52:07,Monday,June,2022,"156, Shivaji Lane, Nigdi, Pune - 411044",Nigdi,Pune,Maharashtra,411044,18.65197,73.76743,An incident of Assault (Bar Fight) occurred near Nigdi. The accused entered the Office and committed the offense before fleeing the scene.,Machete,Wall breach,Offense committed using Machete. Entry via Wall breach. Under investigation.,Office,3,Male,77,Moderate,0.0,4,0,None,Nigdi PS,Hitesh Shinde,Solved,FIR/2022/NIG/00001,0,,Case solved. No CCTV coverage at location. Accused arrested. Evidence submitted to court.,2026-08-08 22:55:42
CR-2025-00002,Extortion,Land Grabbing,2025-04-29,20:17:37,Tuesday,April,2025,"376, Ganesh Colony, Mundhwa, Pune - 411036",Mundhwa,Pune,Maharashtra,411036,18.536233,73.92222,A case of Land Grabbing was reported at Mundhwa at approximately 20:17:37. The suspect targeted a Restaurant. Local residents alerted police after noticing suspicious activity.,Knife,Wall breach,Offense committed using Knife. Entry via Wall breach. Under investigation.,Restaurant,1,Male,35,Severe,0.0,4,1,Blood sample collected,Mundhwa PS,Pranav Sharma,Unsolved,FIR/2025/MUN/00002,0,,Case unsolved. CCTV footage secured. Special team assigned for re-investigation.,2026-08-08 22:55:42
CR-2024-00003,Drug Offense,Drug Trafficking,2024-01-12,05:58:51,Friday,January,2024,"7, Sai Lane, Viman Nagar, Pune - 411014",Viman Nagar,Pune,Maharashtra,411014,18.568849,73.91756,Suspect(s) committed Drug Trafficking at a Restaurant in Viman Nagar during 05:58:51. Officers responded within minutes of the alert.,Knife,Back door,Offense committed using Knife. Entry via Back door. Under investigation.,Restaurant,1,Male,16,Minor,0.0,5,0,Weapon recovered,Viman Nagar PS,Prateek Shah,Closed,FIR/2024/VIM/00003,0,CRM-IND-04433,Case closed — insufficient evidence. No CCTV coverage at location. All leads exhausted.,2026-08-08 22:55:42
CR-2023-00004,Sexual Offense,Harassment,2023-09-29,13:52:01,Friday,September,2023,"24, Sai Colony, Shivajinagar, Pune - 411005",Shivajinagar,Pune,Maharashtra,411005,18.526045,73.84451,A Sexual Offense case involving Harassment was registered at Shivajinagar. The victim reported the incident. Forensic team dispatched to the site.,None,Roof entry,Offense committed using None. Entry via Roof entry. Under investigation.,House,1,Female,41,Severe,0.0,3,0,DNA evidence,Shivajinagar PS,Anjali Nikam,Under Investigation,FIR/2023/SHI/00004,0,,Investigation ongoing. No CCTV coverage at location. Witness statements being recorded. Forensic reports awaited.,2026-08-08 22:55:42
CR-2025-00005,Drug Offense,Drug Manufacturing,2025-08-25,01:47:01,Monday,August,2025,"220, Tilak Colony, Baner, Pune - 411045",Baner,Pune,Maharashtra,411045,18.557378,73.788511,A Drug Offense case involving Drug Manufacturing was registered at Baner. The victim reported the incident. Forensic team dispatched to the site.,None,Wall breach,Offense committed using None. Entry via Wall breach. Under investigation.,Shop,4,Male,13,Fatal,0.0,1,1,Tool marks found,Chaturshrungi PS,Amit Patil,Solved,FIR/2025/CHA/00005,1,CRM-IND-03717,Case solved. CCTV footage secured. Accused arrested. Evidence submitted to court.,2026-08-08 22:55:42
CR-2024-00006,Cybercrime,Ransomware,2024-09-01,14:59:01,Sunday,September,2024,"270, Ambedkar Apartments, Deccan Gymkhana, Pune - 411004",Deccan Gymkhana,Pune,Maharashtra,411004,18.519825,73.84485,Police received a complaint regarding Ransomware at Person in Deccan Gymkhana at 14:59:01. Investigation initiated and local CCTV footage is being examined.,Knife,Front door,Digital means used to commit fraud. Traced through IP analysis and transaction records.,Person,3,Male,20,None,2300201.66,5,0,Eyewitness statement,Deccan PS,Shekhar Shah,Unsolved,FIR/2024/DEC/00006,0,,Case unsolved. No CCTV coverage at location. Special team assigned for re-investigation.,2026-08-08 22:55:42
CR-2022-00007,Kidnapping,Ransom Kidnapping,2022-03-31,16:16:30,Thursday,March,2022,"84, Chhatrapati Lane, Handewadi, Pune - 411028",Handewadi,Pune,Maharashtra,411028,18.45549,73.923176,Suspect(s) committed Ransom Kidnapping at a Hotel in Handewadi during 16:16:30. Officers responded within minutes of the alert.,Iron Rod,Not applicable,Offense committed using Iron Rod. Entry via Not applicable. Under investigation.,Hotel,5,Female,12,Minor,0.0,3,1,None,Hadapsar PS,Varun Kale,Under Investigation,FIR/2022/HAD/00007,0,,Investigation ongoing. CCTV footage secured. Witness statements being recorded. Forensic reports awaited.,2026-08-08 22:55:42
CR-2024-00008,Assault,Aggravated Assault,2024-06-01,14:33:01,Saturday,June,2024,"150, Tilak Lane, Magarpatta, Pune - 411028",Magarpatta,Pune,Maharashtra,411028,18.512914,73.924815,An incident of Assault (Aggravated Assault) occurred near Magarpatta. The accused entered the Vehicle and committed the offense before fleeing the scene.,Knife,Roof entry,Offense committed using Knife. Entry via Roof entry. Under investigation.,Vehicle,1,Male,32,Minor,0.0,2,1,Fingerprint found,Hadapsar PS,Paresh Shelke,Under Investigation,FIR/2024/HAD/00008,0,,Investigation ongoing. CCTV footage secured. Witness statements being recorded. Forensic reports awaited.,2026-08-08 22:55:42
CR-2024-00009,Sexual Offense,Harassment,2024-04-28,19:27:46,Sunday,April,2024,"331, Nehru Society, Kalyani Nagar, Pune - 411006",Kalyani Nagar,Pune,Maharashtra,411006,18.543013,73.899361,A case of Harassment was reported at Kalyani Nagar at approximately 19:27:46. The suspect targeted a House. Local residents alerted police after noticing suspicious activity.,Axe,Wall breach,Offense committed using Axe. Entry via Wall breach. Under investigation.,House,5,Female,69,Severe,0.0,1,0,Vehicle registration traced,Yerawada PS,Pranav More,Closed,FIR/2024/YER/00009,0,CRM-IND-04950,Case closed — insufficient evidence. No CCTV coverage at location. All leads exhausted.,2026-08-08 22:55:42
CR-2024-00010,Extortion,Threatening,2024-02-28,06:27:29,Wednesday,February,2024,"156, Phule Colony, Swargate, Pune - 411042",Swargate,Pune,Maharashtra,411042,18.50394,73.866797,A case of Threatening was reported at Swargate at approximately 06:27:29. The suspect targeted a Mall. Local residents alerted police after noticing suspicious activity.,Axe,Back door,Offense committed using Axe. Entry via Back door. Under investigation.,Mall,3,Male,15,Fatal,0.0,4,1,Mobile phone records,Swargate PS,Chetan Shaikh,Solved,FIR/2024/SWA/00010,1,CRM-IND-04971,Case solved. CCTV footage secured. Accused arrested. Evidence submitted to court.,2026-08-08 22:55:42
CR-2022-00011,Sexual Offense,Molestation,2022-08-08,03:01:28,Monday,August,2022,"232, Shivaji Main Road, Sahakarnagar, Pune - 411009",Sahakarnagar,Pune,Maharashtra,411009,18.474374,73.855264,Police received a complaint regarding Molestation at Highway in Sahakarnagar at 03:01:28. Investigation initiated and local CCTV footage is being examined.,Pistol,Not applicable,Offense committed using Pistol. Entry via Not applicable. Under investigation.,Highway,3,Male,39,Fatal,0.0,5,0,Eyewitness statement,Sahakarnagar PS,Ashish Nair,Closed,FIR/2022/SAH/00011,0,CRM-IND-03563,Case closed — insufficient evidence. No CCTV coverage at location. All leads exhausted.,2026-08-08 22:55:42
CR-2022-00012,Extortion,Blackmail,2022-09-16,11:58:00,Friday,September,2022,"123, Shivaji Complex, Pimple Saudagar, Pune - 411027",Pimple Saudagar,Pune,Maharashtra,411027,18.593236,73.778369,Police received a complaint regarding Blackmail at Person in Pimple Saudagar at 11:58:00. Investigation initiated and local CCTV footage is being examined.,Hammer,Key duplication,Offense committed using Hammer. Entry via Key duplication. Under investigation.,Person,3,Male,55,None,0.0,2,1,Mobile phone records,Sangvi PS,Reyansh Shaikh,Unsolved,FIR/2022/SAN/00012,0,,Case unsolved. CCTV footage secured. Special team assigned for re-investigation.,2026-08-08 22:55:42
CR-2025-00013,Theft,Bicycle Theft,2025-03-20,14:54:19,Thursday,March,2025,"116, Chhatrapati Lane, Phursungi, Pune - 412308",Phursungi,Pune,Maharashtra,412308,18.472094,73.939751,Suspect(s) committed Bicycle Theft at a ATM in Phursungi during 14:54:19. Officers responded within minutes of the alert.,Cricket Bat,Window break,Suspect gained entry via Window break and stole valuables. Operated swiftly.,ATM,4,Female,58,None,3400797.47,4,0,Vehicle registration traced,Hadapsar PS,Wasim Deshmukh,Under Investigation,FIR/2025/HAD/00013,0,,Investigation ongoing. No CCTV coverage at location. Witness statements being recorded. Forensic reports awaited.,2026-08-08 22:55:42
