criminal_id,first_name,last_name,full_name,nickname,gender,age,dob,blood_group,nationality,religion,marital_status,phone_number,email,aadhaar_number,passport_number,address,area_name,city,state,pincode,latitude,longitude,gang_name,gang_role,education_level,occupation,criminal_category,risk_level,fingerprint_id,dna_profile_id,eye_color,hair_color,height_cm,weight_kg,body_marks,face_image_path,mugshot_image,last_known_location,last_seen_date,arrest_count,conviction_count,prison_history,bail_status,most_common_crime,crime_style,preferred_weapon,active_status,wanted_status,created_at
CRM-IND-00001,Varun,Sen,Varun Sen,Angry,Male,46,1979-11-26,O+,Indian,Christian,Single,+916276260482,varun.sen505@yahoo.com,873277042752,G4146456,"111, Laxmi Lane, Bibvewadi, Pune - 411037",Bibvewadi,Pune,Maharashtra,411037,18.48057,73.865814,,,Post Graduate,Truck Driver,Organized Crime,Low,FP-00001,DNA-00001,Brown,Grey,157.1,74.2,,mock_images/faces/CRM-IND-00001_mugshot.jpg,mock_images/faces/CRM-IND-00001_mugshot.jpg,Bibvewadi,2024-05-17,2,2,"Taloja Central Jail (1yr for Theft, 2017-2018); Taloja Central Jail (4yr for Sexual Offense, 2018-2022)",Bail Denied,Assault,Tech-savvy offender. Uses digital tools. Known for Assault operations.,Knife,1,0,2026-08-08 22:55:42
CRM-IND-00002,Tejas,Iyer,Tejas Iyer,Wrestler,Male,56,1969-06-10,AB-,Indian,Hindu,Married,+919746955700,tejas.iyer717@outlook.com,444899756143,,"112, Phule Complex, Pashan, Pune - 411021",Pashan,Pune,Maharashtra,411021,18.535009,73.794242,,,Graduate,Student,White Collar,Critical,FP-00002,DNA-00002,Dark Brown,Dark Brown,154.6,69.5,Knife scar on abdomen,mock_images/faces/CRM-IND-00002_mugshot.jpg,mock_images/faces/CRM-IND-00002_mugshot.jpg,Pashan,2025-12-28,9,6,"Taloja Central Jail (3yr for Sexual Offense, 2011-2014); Arthur Road Jail (5yr for Drug Offense, 2019-2024); Kolhapur Jail (5yr for Drug Offense, 2020-2025)",On Bail,Drug Offense,Tech-savvy offender. Uses digital tools. Known for Drug Offense operations.,None,1,0,2026-08-08 22:55:42
CRM-IND-00003,Krishna,Yadav,Krishna Yadav,Boxer,Male,35,1990-01-23,O+,Indian,Muslim,Widowed,+916485132332,krishna.yadav834@rediffmail.com,283946757371,Z5825775,"199, Laxmi Main Road, Bhusari Colony, Pune - 411038",Bhusari Colony,Pune,Maharashtra,411038,18.504166,73.815881,Scorpion Crew,Leader,No Formal Education,Farmer,Non-violent,High,FP-00003,DNA-00003,Hazel,Dark Brown,183.3,60.1,Bullet wound scar on leg,mock_images/faces/CRM-IND-00003_mugshot.jpg,mock_images/faces/CRM-IND-00003_mugshot.jpg,Bhusari Colony,2025-08-25,13,2,"Pune District Jail (5yr for Assault, 2018-2023); Pune District Jail (4yr for Robbery, 2014-2018)",Bail Denied,Cybercrime,Works with accomplices. Uses stolen vehicles. Specializes in Cybercrime.,None,0,1,2026-08-08 22:55:42
CRM-IND-00004,Nilesh,Mehta,Nilesh Mehta,Captain,Male,34,1991-03-02,B+,Indian,Christian,Widowed,+916930712117,nilesh.mehta955@outlook.com,890759349037,,"38, Patel Complex, Parvati, Pune - 411009",Parvati,Pune,Maharashtra,411009,18.49884,73.849179,,,Higher Secondary,Factory Worker,Habitual Offender,Low,FP-00004,DNA-00004,Dark Brown,Grey,160.2,66.7,Bullet wound scar on leg,mock_images/faces/CRM-IND-00004_mugshot.jpg,mock_images/faces/CRM-IND-00004_mugshot.jpg,Parvati,2024-08-14,3,2,"Kolhapur Jail (3yr for Fraud, 2013-2016); Taloja Central Jail (2yr for Kidnapping, 2014-2016)",Released,Theft,Tech-savvy offender. Uses digital tools. Known for Theft operations.,Chain,0,0,2026-08-08 22:55:42
CRM-IND-00005,Umesh,Suryawanshi,Umesh Suryawanshi,Lucky,Male,46,1979-02-13,O+,Indian,Buddhist,Single,+918652235149,umesh.suryawanshi823@outlook.com,565089751718,X4229821,"43, Sai Colony, MG Road, Pune - 411001",MG Road,Pune,Maharashtra,411001,18.518482,73.874674,,,No Formal Education,Business,Violent,Low,FP-00005,DNA-00005,Dark Brown,Grey,173.5,63.0,,mock_images/faces/CRM-IND-00005_mugshot.jpg,mock_images/faces/CRM-IND-00005_mugshot.jpg,MG Road,2025-10-24,15,7,"Yerawada Central Jail (2yr for Sexual Offense, 2011-2013); Yerawada Central Jail (3yr for Robbery, 2021-2024); Pune District Jail (1yr for Cybercrime, 2011-2012)",On Bail,Theft,Tech-savvy offender. Uses digital tools. Known for Theft operations.,None,0,0,2026-08-08 22:55:42
CRM-IND-00006,Abhishek,Reddy,Abhishek Reddy,Gora,Male,43,1982-11-24,A-,Indian,Hindu,Single,+918639917068,abhishek.reddy109@hotmail.com,844659372417,R7399057,"16, Phule Society, Khadki, Pune - 411003",Khadki,Pune,Maharashtra,411003,18.55774,73.840335,,,Secondary School,Scrap Dealer,Habitual Offender,Medium,FP-00006,DNA-00006,Dark Brown,Brown,160.2,46.1,Bullet wound scar on leg,mock_images/faces/CRM-IND-00006_face_1.jpg,mock_images/faces/CRM-IND-00006_mugshot.jpg,Khadki,2024-01-12,6,0,No prior convictions,Bail Denied,Drug Offense,Operates during nighttime. Uses None. Targets isolated locations.,None,1,0,2026-08-08 22:55:42
CRM-IND-00007,Pravin,More,Pravin More,King,Male,37,1988-09-05,B+,Indian,Hindu,Married,+918308656189,pravin.more118@yahoo.com,749618919992,,"149, Shivaji Complex, Shukrawar Peth, Pune - 411002",Shukrawar Peth,Pune,Maharashtra,411002,18.516717,73.854007,,,Higher Secondary,Waiter,Organized Crime,Medium,FP-00007,DNA-00007,Black,Dark Brown,166.5,62.3,Tattoo of snake on shoulder,mock_images/faces/CRM-IND-00007_mugshot.jpg,mock_images/faces/CRM-IND-00007_mugshot.jpg,Shukrawar Peth,2025-09-26,12,11,"Kolhapur Jail (2yr for Sexual Offense, 2011-2013); Taloja Central Jail (3yr for Cybercrime, 2017-2020); Pune District Jail (5yr for Extortion, 2021-2026)",Not Applicable,Fraud,Solo operator. Methodical planning. Avoids CCTV areas. Uses disguises.,Machete,0,1,2026-08-08 22:55:42
CRM-IND-00008,Manoj,Sen,Manoj Sen,Angry,Male,65,1960-08-15,O-,Indian,Buddhist,Divorced,+916288731774,manoj.sen662@outlook.com,267155973293,,"376, Gandhi Chowk, Ravet, Pune - 412101",Ravet,Pune,Maharashtra,412101,18.648863,73.752765,,,Primary School,Unemployed,Habitual Offender,Critical,FP-00008,DNA-00008,Brown,Bald,154.9,60.2,Tattoo on neck,mock_images/faces/CRM-IND-00008_face_1.jpg,mock_images/faces/CRM-IND-00008_mugshot.jpg,Ravet,2024-02-07,7,4,"Taloja Central Jail (3yr for Kidnapping, 2018-2021); Kolhapur Jail (2yr for Drug Offense, 2017-2019); Arthur Road Jail (5yr for Cybercrime, 2013-2018)",Bail Denied,Fraud,Opportunistic. Strikes during festivals and crowded events. Blends in.,Iron Rod,1,1,2026-08-08 22:55:42
CRM-IND-00009,Vivaan,Roy,Vivaan Roy,,Male,33,1992-03-06,B+,Indian,Sikh,Married,+916334955233,vivaan.roy780@rediffmail.com,389820295331,,"106, Phule Main Road, Pisoli, Pune - 411060",Pisoli,Pune,Maharashtra,411060,18.438179,73.912915,Shadow Syndicate,Weapons Handler,ITI,Daily Wage Worker,Violent,Critical,FP-00009,DNA-00009,Black,Black,166.5,56.0,Scar on right arm,mock_images/faces/CRM-IND-00009_mugshot.jpg,mock_images/faces/CRM-IND-00009_mugshot.jpg,Pisoli,2024-09-26,13,9,"Taloja Central Jail (5yr for Murder, 2019-2024); Kolhapur Jail (4yr for Extortion, 2016-2020); Taloja Central Jail (1yr for Cybercrime, 2020-2021)",Released,Murder,Works with accomplices. Uses stolen vehicles. Specializes in Murder.,None,1,0,2026-08-08 22:55:42
CRM-IND-00010,Vandana,Shaikh,Vandana Shaikh,Chain,Female,48,1977-11-09,B-,Indian,Hindu,Married,+917488933925,vandana.shaikh617@gmail.com,741547737793,,"346, Krishna Lane, University Road, Pune - 411007",University Road,Pune,Maharashtra,411007,18.527788,73.823107,Night Wolves,Driver,No Formal Education,Street Vendor,Violent,Low,FP-00010,DNA-00010,Dark Brown,Dark Brown,168.1,67.5,Tattoo on chest,mock_images/faces/CRM-IND-00010_mugshot.jpg,mock_images/faces/CRM-IND-00010_mugshot.jpg,University Road,2024-02-27,1,0,No prior convictions,Bail Denied,Sexual Offense,Solo operator. Methodical planning. Avoids CCTV areas. Uses disguises.,Iron Rod,0,0,2026-08-08 22:55:42
