officer_id,officer_name,rank,badge_number,phone_number,email,police_station,assigned_area,solved_cases,active_cases,specialization,duty_status
PO-0001,Vihaan Sheikh,Head Constable,MH-PUN-39256,+917890779946,vihaan.sheikh105@outlook.com,Hinjewadi PS,Hinjewadi,156,13,General Duty,Active
PO-0002,Suresh Pandey,Head Constable,MH-PUN-95181,+919336696312,suresh.pandey460@outlook.com,Chandannagar PS,Chandan Nagar,6,24,Homicide,Active
PO-0003,Nilesh Kadam,Senior Inspector,MH-PUN-23396,+916507943839,nilesh.kadam100@hotmail.com,Khadak PS,Raviwar Peth,159,8,General Duty,Active
PO-0004,Pranav More,Police Constable,MH-PUN-92397,+918719927151,pranav.more197@gmail.com,Yerawada PS,Yerawada,174,7,Anti-Terrorism,On Leave
PO-0005,Dhruv Khaire,DCP,MH-PUN-93320,+918274648506,dhruv.khaire380@hotmail.com,Hinjewadi PS,Wakad,176,8,Cybercrime,Active
PO-0006,Rakesh Bose,Assistant Sub-Inspector,MH-PUN-70589,+919389854268,rakesh.bose948@outlook.com,Hadapsar PS,Manjri,180,10,General Duty,Active
PO-0007,Rohan Bhandari,Sub-Inspector,MH-PUN-37653,+918328306011,rohan.bhandari672@rediffmail.com,Hinjewadi PS,Maan,169,14,Homicide,Active
PO-0008,Bharat Mishra,ACP,MH-PUN-86484,+919488690725,bharat.mishra225@yahoo.com,Talegaon PS,Talegaon,28,24,General Duty,Off Duty
PO-0009,Omkar Gaikwad,Sub-Inspector,MH-PUN-60432,+919739830322,omkar.gaikwad480@outlook.com,Dattawadi PS,Dattawadi,146,0,Cybercrime,Active
PO-0010,Rupesh Nikam,Police Constable,MH-PUN-66985,+917587182120,rupesh.nikam4@hotmail.com,Chatushrungi PS,Lavale,200,5,Organized Crime,Off Duty
PO-0011,Paresh Pandey,Assistant Sub-Inspector,MH-PUN-59009,+917679153816,paresh.pandey977@outlook.com,Lonavala PS,Lonavala,158,10,Economic Offenses,Active
PO-0012,Kunal Mane,Head Constable,MH-PUN-84364,+916191969690,kunal.mane750@rediffmail.com,Warje Malwadi PS,Warje,199,17,Homicide,Active
PO-0013,Asha Gaikwad,ACP,MH-PUN-37760,+917865523129,asha.gaikwad320@rediffmail.com,Talegaon PS,Talegaon,117,16,Economic Offenses,Active
PO-0014,Ishaan Nikam,Head Constable,MH-PUN-87128,+917107721109,ishaan.nikam73@gmail.com,Chandannagar PS,Kharadi,22,1,Traffic,Active
PO-0015,Nilesh Roy,Head Constable,MH-PUN-80678,+917876693898,nilesh.roy958@outlook.com,Viman Nagar PS,Lohegaon,126,7,Economic Offenses,Off Duty
PO-0016,Dhruv Pawar,Senior Inspector,MH-PUN-65519,+919601463916,dhruv.pawar885@gmail.com,Dattawadi PS,Parvati,20,12,Traffic,Off Duty
PO-0017,Mukesh Yadav,DCP,MH-PUN-28373,+919297018781,mukesh.yadav286@rediffmail.com,Lonavala PS,Lonavala,24,14,Organized Crime,Active
PO-0018,Advait Khan,Assistant Sub-Inspector,MH-PUN-63269,+919616854671,advait.khan219@rediffmail.com,Hadapsar PS,Hadapsar,47,12,General Duty,On Leave
PO-0019,Prateek Wagh,DCP,MH-PUN-30289,+917418587604,prateek.wagh223@gmail.com,Dattawadi PS,Parvati,196,10,General Duty,Active
PO-0020,Sarita Qureshi,Assistant Sub-Inspector,MH-PUN-17455,+916299528037,sarita.qureshi71@outlook.com,Vishrantwadi PS,Khadki,177,7,Women & Child Safety,Active
PO-0021,Girish Iyer,Sub-Inspector,MH-PUN-64948,+918379995032,girish.iyer210@hotmail.com,Swargate PS,Swargate,72,12,Homicide,Active
PO-0022,Prateek Ghodke,Inspector,MH-PUN-70068,+916178663096,prateek.ghodke551@yahoo.com,Lashkar PS,East Street,72,4,Traffic,Off Duty
PO-0023,Karan Wagh,DCP,MH-PUN-81200,+918756783995,karan.wagh827@outlook.com,Saswad PS,Saswad,175,17,Anti-Terrorism,Off Duty
PO-0024,Dev Kale,Sub-Inspector,MH-PUN-82512,+917392431670,dev.kale289@outlook.com,Chatushrungi PS,Pashan,188,10,Narcotics,Active
PO-0025,Hitesh Tiwari,Inspector,MH-PUN-22097,+919990505735,hitesh.tiwari284@gmail.com,Talegaon PS,Talegaon,90,24,Homicide,Active
PO-0026,Rahul Sheikh,ACP,MH-PUN-83519,+916220123666,rahul.sheikh78@yahoo.com,Faraskhana PS,Shukrawar Peth,14,11,Intelligence,Active
PO-0027,Sunita Jadhav,Senior Inspector,MH-PUN-15229,+918325567963,sunita.jadhav699@yahoo.com,Nigdi PS,Ravet,31,11,Organized Crime,Off Duty
PO-0028,Sangeeta Sheikh,Head Constable,MH-PUN-31299,+917542697755,sangeeta.sheikh26@yahoo.com,Shivajinagar PS,Model Colony,110,25,Narcotics,Active
PO-0029,Pranav Jadhav,Head Constable,MH-PUN-36158,+919475442872,pranav.jadhav313@yahoo.com,Chinchwad PS,Chinchwad,11,21,Narcotics,Active
PO-0030,Ishaan Ansari,Senior Inspector,MH-PUN-94080,+919829627019,ishaan.ansari864@outlook.com,Hinjewadi PS,Tathawade,12,3,Anti-Terrorism,Active
PO-0031,Arjun Pawar,Senior Inspector,MH-PUN-51114,+919750911797,arjun.pawar524@gmail.com,Dattawadi PS,Dattawadi,152,6,Anti-Terrorism,Active
PO-0032,Aadhya Dubey,Head Constable,MH-PUN-57739,+919175133802,aadhya.dubey972@hotmail.com,Wagholi PS,Wagholi,174,3,Anti-Terrorism,Active
PO-0033,Kiran Bhandari,Assistant Sub-Inspector,MH-PUN-35144,+919813962536,kiran.bhandari963@rediffmail.com,Sahakarnagar PS,Sahakarnagar,162,18,Anti-Terrorism,Active
PO-0034,Vishal Wagh,ACP,MH-PUN-86019,+918599277266,vishal.wagh453@rediffmail.com,Khadak PS,Laxmi Road,59,16,Economic Offenses,Active
PO-0035,Tejas More,Senior Inspector,MH-PUN-22240,+917822408848,tejas.more318@yahoo.com,Sahakarnagar PS,Sahakarnagar,42,0,General Duty,Active
PO-0036,Sangeeta Qureshi,DCP,MH-PUN-64321,+917871318048,sangeeta.qureshi714@rediffmail.com,Lashkar PS,MG Road,107,7,Homicide,Active
PO-0037,Kabir Ansari,Head Constable,MH-PUN-33053,+919153921577,kabir.ansari571@yahoo.com,Dattawadi PS,Parvati,121,4,Economic Offenses,Active
PO-0038,Ashish Nair,ACP,MH-PUN-81810,+919270894498,ashish.nair762@rediffmail.com,Bharati Vidyapeeth PS,Ambegaon,71,24,Narcotics,Off Duty
PO-0039,Ramesh Tiwari,Police Constable,MH-PUN-67654,+916866162966,ramesh.tiwari293@yahoo.com,Hadapsar PS,Phursungi,90,10,Organized Crime,Active
PO-0040,Suresh Khaire,Head Constable,MH-PUN-18418,+919537656494,suresh.khaire339@outlook.com,Shivajinagar PS,Ganeshkhind,111,1,Narcotics,Off Duty
PO-0041,Komal Ansari,Inspector,MH-PUN-85456,+919612153089,komal.ansari7@hotmail.com,Wanowrie PS,Wanowrie,197,12,Women & Child Safety,Active
PO-0042,Sumit Deshpande,ACP,MH-PUN-73654,+916517532243,sumit.deshpande345@rediffmail.com,Hinjewadi PS,Wakad,124,4,Intelligence,Active
PO-0043,Rita Shah,Sub-Inspector,MH-PUN-94246,+919245706210,rita.shah888@rediffmail.com,Chandannagar PS,Kharadi,17,8,Women & Child Safety,Active
PO-0044,Kiran Nikam,Police Constable,MH-PUN-65255,+918996478772,kiran.nikam84@rediffmail.com,Vishrambaug PS,Sadashiv Peth,196,17,General Duty,On Leave
PO-0045,Manoj Das,Inspector,MH-PUN-14067,+917314061901,manoj.das860@gmail.com,Lashkar PS,East Street,44,7,Homicide,Active
PO-0046,Chetan Joshi,Police Constable,MH-PUN-58351,+917750572325,chetan.joshi622@gmail.com,Mundhwa PS,Mundhwa,84,3,Intelligence,Active
PO-0047,Durgesh Ghosh,ACP,MH-PUN-35995,+916735760237,durgesh.ghosh708@yahoo.com,Vishrambaug PS,Sadashiv Peth,183,24,Anti-Terrorism,Off Duty
PO-0048,Chetan Shaikh,Senior Inspector,MH-PUN-79827,+919810303128,chetan.shaikh380@gmail.com,Swargate PS,Market Yard,8,13,Economic Offenses,Active
PO-0049,Paresh Syed,Assistant Sub-Inspector,MH-PUN-67080,+917887906704,paresh.syed535@hotmail.com,Mundhwa PS,Keshav Nagar,124,13,Intelligence,Active
PO-0050,Advait Salve,Head Constable,MH-PUN-70910,+919461203124,advait.salve30@rediffmail.com,Faraskhana PS,Somwar Peth,51,15,Narcotics,Active
PO-0051,Akash Salve,Inspector,MH-PUN-77715,+917191926217,akash.salve248@rediffmail.com,Hinjewadi PS,Maan,147,24,Narcotics,Active
PO-0052,Geeta Shaikh,Sub-Inspector,MH-PUN-48566,+917534222401,geeta.shaikh709@yahoo.com,Chandannagar PS,Chandan Nagar,174,18,Traffic,Active
PO-0053,Prashant Sheikh,Senior Inspector,MH-PUN-56112,+919390894296,prashant.sheikh314@hotmail.com,Yerawada PS,Yerawada,35,23,Narcotics,Active
PO-0054,Sanjay Joshi,Police Constable,MH-PUN-87278,+918207939087,sanjay.joshi853@yahoo.com,Chinchwad PS,Akurdi,63,11,Homicide,Active
PO-0055,Nilesh Jadhav,Police Constable,MH-PUN-26551,+919210152642,nilesh.jadhav894@gmail.com,Warje Malwadi PS,Bavdhan,125,15,Economic Offenses,Active
PO-0056,Dinesh Verma,Sub-Inspector,MH-PUN-62521,+919179545125,dinesh.verma591@gmail.com,Chatushrungi PS,Pashan,43,25,Intelligence,Off Duty
PO-0057,Mukesh Chavan,ACP,MH-PUN-89471,+917932894596,mukesh.chavan536@rediffmail.com,Yerawada PS,Kalyani Nagar,118,9,Intelligence,On Leave
PO-0058,Chetan Nair,Sub-Inspector,MH-PUN-37235,+917384161612,chetan.nair677@gmail.com,Warje Malwadi PS,Warje,66,5,Organized Crime,Active
PO-0059,Ajay Singh,Police Constable,MH-PUN-14278,+917409350265,ajay.singh724@hotmail.com,Chinchwad PS,Pradhikaran,121,2,Narcotics,Off Duty
PO-0060,Prashant Chavan,Head Constable,MH-PUN-94886,+917385220694,prashant.chavan847@yahoo.com,Wagholi PS,Wagholi,20,5,Anti-Terrorism,Active
PO-0061,Ashish Chavan,Police Constable,MH-PUN-62757,+918637377910,ashish.chavan553@rediffmail.com,Mundhwa PS,Keshav Nagar,25,19,General Duty,Off Duty
PO-0062,Lalit Kale,Sub-Inspector,MH-PUN-40005,+916921155204,lalit.kale689@hotmail.com,Chandannagar PS,Wadgaon Sheri,15,24,Homicide,Active
PO-0063,Madhuri Salve,ACP,MH-PUN-93202,+919197970787,madhuri.salve482@hotmail.com,Kothrud PS,Mayur Colony,90,10,Cybercrime,Off Duty
PO-0064,Ajay Banerjee,Police Constable,MH-PUN-96846,+919973559879,ajay.banerjee779@outlook.com,Viman Nagar PS,Viman Nagar,121,2,Traffic,Active
PO-0065,Pankaj Pandey,DCP,MH-PUN-64165,+916301415220,pankaj.pandey531@hotmail.com,Pimpri PS,Pimpri,165,14,General Duty,Active
PO-0066,Sachin Singh,Sub-Inspector,MH-PUN-13783,+917862123506,sachin.singh163@hotmail.com,Viman Nagar PS,Lohegaon,8,17,Women & Child Safety,Active
